taxon	longitude	latitude
472	-10.6338315396349	6.36087029675971
475	-8.20231381705748	7.89341766164052
477	-8.25154326998099	8.64791327403784
478	-14.8625619423829	12.841656350292
479	-8.32088946704044	9.97574223348326
482	-8.03319926404319	5.98904539624955
484	-12.1291876375738	11.3666466983719
488	-16.4181559300976	13.8709465991009
489	-12.9338137152638	8.91337645574703
491	-12.098091719439	12.4009354208876
492	-12.5973501594739	10.2845675777763
502	-8.93734400492394	11.3878816491718
511	-9.1521287605045	8.57601743708959
514	-8.43679270788374	9.17841526041753
540	-10.1462254959703	8.36035732848536
